addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.137777620686779,Tel.,,Ctra Sant Cugat,Telèfons,8035,57732077,932126789,BARCELONA,Altres esports,,651,,Gràcia,,427950.14345757576,97,﻿92086019859,92168152977,True,6,,,28,31,Pavelló Poliesportiu,148409,1989-10-09T00:00:00,4585987.323271296,Club Tennis Vall Parc,2006-07-05T13:36:15,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.42221483499628,,166190,Vallcarca i els Penitents,True,20001
,,2.137777620686779,Tel.,,Ctra Sant Cugat,Telèfons,8035,57345754,932126789,BARCELONA,Instal·lacions esportives,,651,,Gràcia,,427950.14345757576,97,﻿92086019859,92168152977,True,6,,,28,32,Pavelló Poliesportiu,148409,1989-10-09T00:00:00,4585987.323271296,Club Tennis Vall Parc,2006-07-05T13:36:15,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.42221483499628,,166190,Vallcarca i els Penitents,True,20001
,73,2.213132050253879,,,Rambla de Prim,,8019,57731068,,Barcelona,Bàsquet,,651,,Sant Martí,,434240.05246990925,71,﻿99400739732,,True,10,,,70,33,Cistelles de Bàsquet a a Rambla Prim - Veneçuela,266405,2024-07-17T08:52:18.951539,4585158.8329593735,,2024-10-15T11:02:57.933099,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.41529229800223,,,el Besòs i el Maresme,,
,73,2.213132050253879,,,Rambla de Prim,,8019,57732077,,Barcelona,Altres esports,,651,,Sant Martí,,434240.05246990925,71,﻿99400739732,,True,10,,,70,34,Cistelles de Bàsquet a a Rambla Prim - Veneçuela,266405,2024-07-17T08:52:18.951539,4585158.8329593735,,2024-10-15T11:02:57.933099,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.41529229800223,,,el Besòs i el Maresme,,
,73,2.213132050253879,,,Rambla de Prim,,8019,57345754,,Barcelona,Instal·lacions esportives,,651,,Sant Martí,,434240.05246990925,71,﻿99400739732,,True,10,,,70,35,Cistelles de Bàsquet a a Rambla Prim - Veneçuela,266405,2024-07-17T08:52:18.951539,4585158.8329593735,,2024-10-15T11:02:57.933099,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.41529229800223,,,el Besòs i el Maresme,,
,73,2.213132050253879,,,Rambla de Prim,,8019,57733069,,Barcelona,Zones de joc,,651,,Sant Martí,,434240.05246990925,71,﻿99400739732,,True,10,,,70,36,Cistelles de Bàsquet a a Rambla Prim - Veneçuela,266405,2024-07-17T08:52:18.951539,4585158.8329593735,,2024-10-15T11:02:57.933099,65103004002001,Planol BCN >> Esports >> Instal·lacions esportives >> Zones de joc,41.41529229800223,,,el Besòs i el Maresme,,
,5,2.1794422000221694,,,Carrer dels Metges,,8003,57731068,,Barcelona,Bàsquet,,651,,Ciutat Vella,,431395.5070636273,5,﻿99400739567,,True,1,,,4,37,Cistelles de Bàsquet al Jardí del Pou de la Figuera,210400,2024-07-15T12:12:37.691407,4582123.151188348,,2024-10-15T12:04:44.992615,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.3877130723973,,,"Sant Pere, Santa Caterina i la Ribera",,
,5,2.1794422000221694,,,Carrer dels Metges,,8003,57732077,,Barcelona,Altres esports,,651,,Ciutat Vella,,431395.5070636273,5,﻿99400739567,,True,1,,,4,38,Cistelles de Bàsquet al Jardí del Pou de la Figuera,210400,2024-07-15T12:12:37.691407,4582123.151188348,,2024-10-15T12:04:44.992615,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.3877130723973,,,"Sant Pere, Santa Caterina i la Ribera",,
,5,2.1794422000221694,,,Carrer dels Metges,,8003,57345754,,Barcelona,Instal·lacions esportives,,651,,Ciutat Vella,,431395.5070636273,5,﻿99400739567,,True,1,,,4,39,Cistelles de Bàsquet al Jardí del Pou de la Figuera,210400,2024-07-15T12:12:37.691407,4582123.151188348,,2024-10-15T12:04:44.992615,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.3877130723973,,,"Sant Pere, Santa Caterina i la Ribera",,
,5,2.1794422000221694,,,Carrer dels Metges,,8003,57733069,,Barcelona,Zones de joc,,651,,Ciutat Vella,,431395.5070636273,5,﻿99400739567,,True,1,,,4,40,Cistelles de Bàsquet al Jardí del Pou de la Figuera,210400,2024-07-15T12:12:37.691407,4582123.151188348,,2024-10-15T12:04:44.992615,65103004002001,Planol BCN >> Esports >> Instal·lacions esportives >> Zones de joc,41.3877130723973,,,"Sant Pere, Santa Caterina i la Ribera",,
,9,2.1492739401998837,,,Carrer de la Diputació,,8015,57731068,,Barcelona,Bàsquet,,651,,Eixample,,428862.382100964,9,﻿99400739573,92086012013,True,2,,,9,41,Cistelles de Bàsquet,100800,2024-07-15T12:32:50.170447,4581045.281880818,Parc de Joan Miró,2024-10-15T12:14:49.707560,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.377785057727486,,,la Nova Esquerra de l'Eixample,,
,9,2.1492739401998837,,,Carrer de la Diputació,,8015,57732077,,Barcelona,Altres esports,,651,,Eixample,,428862.382100964,9,﻿99400739573,92086012013,True,2,,,9,42,Cistelles de Bàsquet,100800,2024-07-15T12:32:50.170447,4581045.281880818,Parc de Joan Miró,2024-10-15T12:14:49.707560,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.377785057727486,,,la Nova Esquerra de l'Eixample,,
,9,2.1492739401998837,,,Carrer de la Diputació,,8015,57345754,,Barcelona,Instal·lacions esportives,,651,,Eixample,,428862.382100964,9,﻿99400739573,92086012013,True,2,,,9,43,Cistelles de Bàsquet,100800,2024-07-15T12:32:50.170447,4581045.281880818,Parc de Joan Miró,2024-10-15T12:14:49.707560,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.377785057727486,,,la Nova Esquerra de l'Eixample,,
,9,2.1492739401998837,,,Carrer de la Diputació,,8015,57733069,,Barcelona,Zones de joc,,651,,Eixample,,428862.382100964,9,﻿99400739573,92086012013,True,2,,,9,44,Cistelles de Bàsquet,100800,2024-07-15T12:32:50.170447,4581045.281880818,Parc de Joan Miró,2024-10-15T12:14:49.707560,65103004002001,Planol BCN >> Esports >> Instal·lacions esportives >> Zones de joc,41.377785057727486,,,la Nova Esquerra de l'Eixample,,
,172,2.190726200497899,Tel.,,Carrer de la Llacuna,Telèfons,8018,57731068,932664441,Barcelona,Bàsquet,,651,,Sant Martí,,432359.232,172,﻿92086031199,,True,10,,,65,45,Pavelló Poliesportiu Municipal La Nau del Clot,183603,1989-10-26T00:00:00,4584286.866,,2023-07-06T10:22:12.264864,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.407282651370764,,541595,el Clot,False,20001
,172,2.190726200497899,Tel.,,Carrer de la Llacuna,Telèfons,8018,57732077,932664441,Barcelona,Altres esports,,651,,Sant Martí,,432359.232,172,﻿92086031199,,True,10,,,65,46,Pavelló Poliesportiu Municipal La Nau del Clot,183603,1989-10-26T00:00:00,4584286.866,,2023-07-06T10:22:12.264864,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.407282651370764,,541595,el Clot,False,20001
,172,2.190726200497899,Tel.,,Carrer de la Llacuna,Telèfons,8018,57345754,932664441,Barcelona,Instal·lacions esportives,,651,,Sant Martí,,432359.232,172,﻿92086031199,,True,10,,,65,47,Pavelló Poliesportiu Municipal La Nau del Clot,183603,1989-10-26T00:00:00,4584286.866,,2023-07-06T10:22:12.264864,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.407282651370764,,541595,el Clot,False,20001
,0,2.1343564552028247,,,Jardins de Magalí,,8014,57731068,,Barcelona,Bàsquet,,651,,Les Corts,,427622.7503701635,0,﻿99400739637,92086012472,True,4,,,19,48,Cistelles de Bàsquet,162206,2024-07-16T09:18:11.534754,4581836.413617006,Jardins de Magalí,2024-10-15T12:41:03.982733,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.38479992887816,,,les Corts,,
,0,2.1343564552028247,,,Jardins de Magalí,,8014,57732077,,Barcelona,Altres esports,,651,,Les Corts,,427622.7503701635,0,﻿99400739637,92086012472,True,4,,,19,49,Cistelles de Bàsquet,162206,2024-07-16T09:18:11.534754,4581836.413617006,Jardins de Magalí,2024-10-15T12:41:03.982733,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.38479992887816,,,les Corts,,
,0,2.1343564552028247,,,Jardins de Magalí,,8014,57345754,,Barcelona,Instal·lacions esportives,,651,,Les Corts,,427622.7503701635,0,﻿99400739637,92086012472,True,4,,,19,50,Cistelles de Bàsquet,162206,2024-07-16T09:18:11.534754,4581836.413617006,Jardins de Magalí,2024-10-15T12:41:03.982733,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.38479992887816,,,les Corts,,
